model_name,provider,family,release_date,availability,architecture,training_paradigm,parameter_count_B,MMLU_PRO,IFEval,BBH,GPQA,MATH_Lvl_5,MuSR,chatbot_arena_elo,arena_votes,output_tokens_per_second,time_to_first_token_s,source_url,source_note,benchmark_observed,arena_observed,hardware_observed,release_year_month,collected_through,parameter_count_observed,chatbot_arena_elo_observed,hardware_metrics_observed,MMLU_PRO_norm,IFEval_norm,BBH_norm,GPQA_norm,MATH_Lvl_5_norm,MuSR_norm,Average_Score,Average_Score_norm,Elo_norm,Composite_Score,Score_per_Billion_Params,Hardware_Pareto_Index
Gemini 1.5 Pro,Google,Gemini,2024-02-15,API/闭源,ClosedAPI,原生预训练,,70.5,86.8,77.4,55.2,58.8,59.5,1392.0,1600000,39.0,0.63,https://blog.google/technology/ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-02,2026-06-05,False,True,True,0.576388888888889,0.7016129032258062,0.6094674556213021,0.411144578313253,0.5067567567567567,0.5376106194690264,68.03,0.5231252806466099,0.6496815286624203,0.585,,0.776
Claude 3 Opus,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,70.6,86.8,77.6,53.9,57.1,59.3,1395.0,910000,32.0,0.84,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.5787037037037036,0.7016129032258062,0.6153846153846153,0.39156626506024095,0.4780405405405405,0.5331858407079645,67.55,0.512348450830714,0.6592356687898089,0.583,,0.84
Claude 3 Sonnet,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,64.8,83.1,72.7,45.4,48.2,52.1,1326.0,770000,58.0,0.42,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.44444444444444436,0.5524193548387093,0.47041420118343213,0.2635542168674699,0.32770270270270274,0.3738938053097345,61.05,0.366412213740458,0.4394904458598726,0.411,,0.757
Command R,Cohere,Command,2024-03-11,API/闭源,CommandRForCausalLM,原生预训练,35.0,57.5,78.6,67.9,37.1,39.6,46.9,1302.0,240000,26.0,0.82,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,True,True,True,0.27546296296296297,0.37096774193548343,0.3284023668639056,0.1385542168674699,0.18243243243243243,0.2588495575221238,54.6,0.221598563089358,0.3630573248407643,0.286,1.56,1.04
Claude 3 Haiku,Anthropic,Claude,2024-03-13,API/闭源,ClosedAPI,原生预训练,,58.2,79.4,68.5,37.2,39.8,46.5,1265.0,620000,96.0,0.27,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.29166666666666674,0.40322580645161293,0.34615384615384626,0.14006024096385547,0.18581081081081074,0.24999999999999992,54.93,0.22900763358778634,0.24522292993630573,0.252,,0.77
Kimi Chat,Moonshot AI,Kimi,2024-03-18,API/闭源,ClosedAPI,长上下文,,63.0,83.0,72.5,44.0,47.6,54.0,1342.0,410000,35.0,0.73,https://www.moonshot.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.4027777777777778,0.5483870967741934,0.46449704142011844,0.24246987951807228,0.31756756756756754,0.41592920353982293,60.68,0.3581050740907051,0.49044585987261147,0.423,,0.894
Command R+,Cohere,Command,2024-04-04,API/闭源,CommandRForCausalLM,原生预训练,104.0,63.5,82.1,72.0,45.6,49.5,52.8,1355.0,270000,18.0,1.1,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.41435185185185186,0.5120967741935479,0.44970414201183445,0.266566265060241,0.3496621621621621,0.38938053097345116,60.92,0.363493488998653,0.5318471337579618,0.437,0.586,1.026
Mixtral 8x22B,Mistral AI,Mistral,2024-04-17,开放权重,MixtralForCausalLM,MoE/模型融合,141.0,62.5,82.5,71.8,43.3,47.7,52.9,1308.33,190000,12.5,1.96,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-04,2026-06-05,True,False,True,0.3912037037037037,0.5282258064516128,0.44378698224852076,0.23192771084337346,0.3192567567567568,0.3915929203539822,60.12,0.3455321059721599,0.3832165605095539,0.377,0.426,1.217
Llama 3 70B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,70.0,60.6,80.5,70.4,40.6,43.5,49.4,1322.0,760000,19.0,1.42,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.34722222222222227,0.44758064516129015,0.4023668639053257,0.19126506024096387,0.2483108108108108,0.3141592920353981,57.5,0.2867085765603952,0.4267515923566879,0.352,0.821,1.094
Llama 3 8B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,8.0,49.8,72.8,61.2,30.4,28.8,39.5,1225.0,520000,64.0,0.55,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.09722222222222213,0.13709677419354807,0.1301775147928996,0.03765060240963855,0.0,0.09513274336283178,47.08,0.05276156264032334,0.1178343949044586,0.084,5.885,0.994
DeepSeek V2,DeepSeek,DeepSeek,2024-05-07,开放权重,DeepseekForCausalLM,MoE/模型融合,236.0,67.8,84.1,74.5,49.1,55.8,56.6,1388.0,410000,10.2,2.3,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,True,True,True,0.5138888888888888,0.5927419354838706,0.5236686390532546,0.31927710843373497,0.456081081081081,0.4734513274336283,64.65,0.4472384373596769,0.6369426751592356,0.528,0.274,1.173
DeepSeek V2 Lite,DeepSeek,DeepSeek,2024-05-07,开放权重,DeepseekForCausalLM,MoE/模型融合,16.0,55.2,77.3,66.4,37.9,42.6,46.1,1287.0,280000,49.5,0.69,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,True,True,True,0.22222222222222227,0.3185483870967739,0.28402366863905354,0.1506024096385542,0.23310810810810811,0.24115044247787606,54.25,0.21374045801526725,0.31528662420382164,0.26,3.391,0.91
Yi-1.5-34B-Chat,01.AI,Yi,2024-05-13,开放权重,LlamaForCausalLM,指令微调,34.0,55.8,78.4,67.0,37.6,41.0,45.8,1281.23,100000,29.0,0.92,https://www.lingyiwanwu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-05,2026-06-05,True,False,True,0.23611111111111105,0.3629032258064517,0.3017751479289942,0.14608433734939763,0.20608108108108106,0.23451327433628305,54.27,0.21418949259092965,0.29691082802547775,0.258,1.596,1.065
Yi-1.5-9B-Chat,01.AI,Yi,2024-05-13,开放权重,LlamaForCausalLM,指令微调,9.0,49.9,73.1,61.2,31.1,34.4,39.0,1234.92,120000,61.0,0.54,https://www.lingyiwanwu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-05,2026-06-05,True,False,True,0.09953703703703698,0.14919354838709634,0.1301775147928996,0.04819277108433739,0.09459459459459456,0.08407079646017693,48.12,0.07611136057476427,0.1494267515923569,0.109,5.347,0.979
GPT-4o,OpenAI,GPT-o,2024-05-13,API/闭源,ClosedAPI,原生预训练,,73.2,89.2,80.5,59.4,62.1,63.0,1425.0,2300000,52.0,0.38,https://openai.com/index/hello-gpt-4o/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,False,True,True,0.638888888888889,0.7983870967741935,0.7011834319526629,0.47439759036144574,0.5624999999999999,0.6150442477876105,71.23,0.5949708127525821,0.7547770700636943,0.671,,0.614
Gemini 1.5 Flash,Google,Gemini,2024-05-14,API/闭源,ClosedAPI,原生预训练,,61.5,82.2,70.6,42.5,45.8,49.9,1296.0,780000,104.0,0.28,https://blog.google/technology/ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,False,True,True,0.3680555555555556,0.5161290322580645,0.40828402366863903,0.21987951807228917,0.2871621621621621,0.325221238938053,58.75,0.3147732375392906,0.34394904458598724,0.345,,0.66
Mistral 7B v0.3,Mistral AI,Mistral,2024-05-22,开放权重,MistralForCausalLM,指令微调,7.3,47.2,72.8,59.4,28.7,29.4,37.8,1219.0,430000,74.0,0.41,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,True,True,True,0.03703703703703708,0.13709677419354807,0.07692307692307697,0.012048192771084347,0.0101351351351351,0.05752212389380518,45.88,0.025819488100583873,0.09872611464968153,0.062,6.285,0.97
GLM-4-9B-Chat,Zhipu AI,GLM,2024-06-05,开放权重,ChatGLMForCausalLM,指令微调,9.0,54.1,77.4,65.9,35.1,39.9,43.9,1275.0,200000,59.0,0.57,https://www.zhipuai.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.19675925925925927,0.32258064516129037,0.2692307692307695,0.10843373493975907,0.18749999999999994,0.19247787610619457,52.72,0.17938931297709929,0.2770700636942675,0.228,5.858,0.882
Qwen2 72B,Alibaba,Qwen,2024-06-07,开放权重,Qwen2ForCausalLM,指令微调,72.0,63.1,82.0,71.0,44.5,50.4,53.0,1350.0,360000,17.0,1.38,https://qwenlm.github.io/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.4050925925925926,0.5080645161290321,0.4201183431952664,0.25,0.3648648648648648,0.39380530973451316,60.67,0.35788055680287395,0.5159235668789809,0.428,0.843,1.062
Qwen2 7B,Alibaba,Qwen,2024-06-07,开放权重,Qwen2ForCausalLM,指令微调,7.0,50.8,75.0,62.8,31.6,35.4,41.5,1238.0,260000,70.0,0.46,https://qwenlm.github.io/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.12037037037037028,0.22580645161290303,0.1775147928994083,0.0557228915662651,0.11148648648648644,0.13938053097345127,49.52,0.10754378087112722,0.1592356687898089,0.137,7.074,0.93
Claude 3.5 Sonnet,Anthropic,Claude,2024-06-20,API/闭源,ClosedAPI,原生预训练,,72.4,88.6,79.8,58.1,61.0,62.3,1410.0,1900000,44.0,0.45,https://www.anthropic.com/news/claude-3-5-sonnet,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,False,True,True,0.6203703703703706,0.7741935483870964,0.6804733727810651,0.45481927710843373,0.543918918918919,0.5995575221238937,70.37,0.5756623259991022,0.7070063694267515,0.641,,0.703
Gemma 2 27B,Google,Gemma,2024-06-27,开放权重,GemmaForCausalLM,指令微调,27.0,58.4,80.1,68.4,38.8,43.0,47.4,1280.0,210000,30.5,0.88,https://blog.google/technology/developers/google-gemma-2/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-06,2026-06-05,True,False,True,0.2962962962962963,0.4314516129032254,0.3431952662721896,0.16415662650602406,0.23986486486486483,0.2699115044247786,56.02,0.2534800179613832,0.2929936305732484,0.285,2.075,1.056
Gemma 2 9B,Google,Gemma,2024-06-27,开放权重,GemmaForCausalLM,指令微调,9.0,52.7,76.8,64.0,32.5,35.7,41.9,1255.0,300000,63.0,0.52,https://blog.google/technology/developers/google-gemma-2/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.1643518518518519,0.29838709677419323,0.21301775147929003,0.06927710843373495,0.11655405405405408,0.14823008849557512,50.6,0.1317916479568928,0.21337579617834396,0.177,5.622,0.914
ERNIE 4.0 Turbo,Baidu,ERNIE,2024-06-28,API/闭源,ClosedAPI,原生预训练,,63.8,82.8,72.2,45.0,49.4,53.6,1348.0,210000,45.0,0.6,https://yiyan.baidu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,False,True,True,0.4212962962962962,0.540322580645161,0.45562130177514815,0.2575301204819277,0.3479729729729729,0.4070796460176991,61.13,0.3682083520431075,0.5095541401273885,0.435,,0.803
GPT-4o mini,OpenAI,GPT-o,2024-07-18,API/闭源,ClosedAPI,蒸馏/小模型,,65.1,84.3,73.8,48.6,54.2,55.4,1358.0,1300000,88.0,0.31,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,False,True,True,0.4513888888888888,0.6008064516129029,0.5029585798816568,0.3117469879518072,0.42905405405405406,0.4469026548672565,63.57,0.4229905702739112,0.5414012738853503,0.482,,0.511
Llama 3.1 405B,Meta,Llama,2024-07-23,开放权重,LlamaForCausalLM,指令微调,405.0,71.1,87.4,77.2,50.8,53.6,58.3,1401.0,610000,5.2,3.8,https://ai.meta.com/blog/meta-llama-3-1/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,True,True,True,0.5902777777777777,0.7258064516129034,0.6035502958579884,0.3448795180722891,0.4189189189189189,0.5110619469026547,66.4,0.4865289627301304,0.678343949044586,0.578,0.164,1.45
Llama 3.1 70B,Meta,Llama,2024-07-23,开放权重,LlamaForCausalLM,指令微调,70.0,63.7,82.1,71.4,42.9,46.8,51.2,1358.0,980000,18.0,1.55,https://ai.meta.com/blog/meta-llama-3-1/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,True,True,True,0.41898148148148157,0.5120967741935479,0.43195266272189375,0.2259036144578313,0.304054054054054,0.35398230088495575,59.68,0.3356533453075888,0.5414012738853503,0.425,0.853,1.058
Llama 3.1 8B,Meta,Llama,2024-07-23,开放权重,LlamaForCausalLM,指令微调,8.0,51.4,74.2,63.8,33.1,31.6,42.4,1248.0,820000,58.0,0.62,https://ai.meta.com/blog/meta-llama-3-1/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,True,True,True,0.13425925925925922,0.1935483870967741,0.20710059171597636,0.07831325301204822,0.04729729729729731,0.15929203539822998,49.42,0.10529860799281555,0.1910828025477707,0.144,6.178,0.96
Mistral Large 2,Mistral AI,Mistral,2024-07-24,API/闭源,ClosedAPI,原生预训练,,67.0,84.2,75.0,50.8,54.4,57.0,1378.0,420000,38.0,0.64,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-07,2026-06-05,False,True,True,0.4953703703703704,0.596774193548387,0.5384615384615385,0.3448795180722891,0.4324324324324324,0.48230088495575213,64.73,0.4490345756623262,0.6050955414012739,0.518,,0.805
Grok-2,xAI,Grok,2024-08-13,API/闭源,ClosedAPI,原生预训练,,67.2,84.3,74.8,50.5,52.9,56.1,1379.11,760000,41.0,0.7,https://x.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-08,2026-06-05,False,False,True,0.5000000000000001,0.6008064516129029,0.5325443786982249,0.34036144578313254,0.4070945945945945,0.4623893805309734,64.3,0.439380332285586,0.6086305732484073,0.515,,0.782
Phi-3.5 mini,Microsoft,Phi,2024-08-20,开放权重,PhiForCausalLM,指令微调,3.8,45.6,69.4,56.8,27.9,33.5,35.2,1188.0,260000,95.0,0.31,https://techcommunity.microsoft.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-08,2026-06-05,True,True,True,0.0,0.0,0.0,0.0,0.07939189189189187,0.0,44.73,0.0,0.0,0.0,11.771,1.013
GLM-4-Plus,Zhipu AI,GLM,2024-08-27,API/闭源,ClosedAPI,原生预训练,,66.0,84.4,74.6,49.4,54.8,56.8,1374.0,220000,42.0,0.62,https://www.zhipuai.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-08,2026-06-05,False,True,True,0.4722222222222222,0.6048387096774194,0.5266272189349112,0.32379518072289154,0.4391891891891891,0.4778761061946901,64.33,0.44005388414907953,0.5923566878980892,0.51,,0.779
Hunyuan Turbo,Tencent,Hunyuan,2024-09-05,API/闭源,ClosedAPI,原生预训练,,62.2,82.4,71.8,44.8,48.2,52.2,1335.0,190000,58.0,0.44,https://hunyuan.tencent.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-09,2026-06-05,False,True,True,0.38425925925925936,0.5241935483870969,0.44378698224852076,0.25451807228915657,0.32770270270270274,0.37610619469026546,60.27,0.34889986528962746,0.4681528662420382,0.408,,0.736
Qwen2.5 72B,Alibaba,Qwen,2024-09-19,开放权重,Qwen2ForCausalLM,指令微调,72.0,66.4,84.8,73.6,47.2,52.4,55.5,1375.0,720000,16.5,1.42,https://qwenlm.github.io/blog/qwen2.5/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-09,2026-06-05,True,True,True,0.4814814814814816,0.6209677419354837,0.4970414201183432,0.2906626506024097,0.3986486486486486,0.44911504424778753,63.32,0.4173776380781321,0.5955414012738853,0.5,0.879,1.036
